sd_MDS1,sd_MDS2,sd_mean
0.013155294745421786,0.0058480575932775706,0.009501676169349679
0.011517060116887586,0.004679456234284961,0.008098258175586273
0.009973194736053495,0.004798820983710332,0.007386007859881914
0.010452896215508519,0.003797237060155525,0.007125066637832022
0.00956485034162559,0.0046983869598041334,0.0071316186507148615
0.010424971193184251,0.004065443692477735,0.007245207442830993
0.01002284713180186,0.004181334149128591,0.007102090640465226
0.010028399309128586,0.004870474357031339,0.007449436833079963
0.010969966101209915,0.006683920779051317,0.008826943440130616
0.009730942957436968,0.003183292052229416,0.006457117504833192
0.008789220948496403,0.0029584296464943587,0.005873825297495381
0.007702592406713409,0.00457662043839785,0.00613960642255563
0.008223444616097992,0.004001019463596042,0.006112232039847017
0.007801304703413221,0.004413726084351932,0.006107515393882577
0.01028043151144059,0.008136451719686485,0.009208441615563539
0.008708191299752527,0.004188063541873113,0.00644812742081282
0.007749709874737695,0.004218191402147719,0.005983950638442707
0.008111785788125781,0.00601237072072898,0.007062078254427381
0.007365094837666397,0.0031688253235859698,0.005266960080626184
0.007288010912820579,0.005063874415916231,0.006175942664368404
0.006453065948450435,0.0046761369969069095,0.005564601472678673
0.007318635016402087,0.003076522855109524,0.005197578935755806
0.00753569254768972,0.004588666221540952,0.006062179384615336
0.007338442620041448,0.004415836189788137,0.005877139404914793
0.006954190858643093,0.0036779533985482936,0.005316072128595693
0.008412363154627303,0.004650827716015145,0.006531595435321225
0.006567099355189315,0.0023094007435760892,0.004438250049382702
0.007062202878161873,0.004182100597552985,0.0056221517378574285
0.006574258578580915,0.002552492851478777,0.004563375715029846
0.005608486739645056,0.004566211019071247,0.005087348879358152
0.006347369941876684,0.0016048338391543612,0.0039761018905155225
0.007048655990294652,0.003829989044541184,0.0054393225174179174
0.0072055206909866654,0.0040661811968615786,0.005635850943924122
0.0049383225773533355,0.004610042194911655,0.004774182386132496
0.005867355921712718,0.0023106218414344452,0.0040889888815735815
0.005464678069342501,0.0028526597458811013,0.004158668907611801
0.005504699182415692,0.004536844176379726,0.0050207716793977085
0.0061472154963711475,0.004004289507554793,0.0050757525019629705
0.005370980180124414,0.0017151668284574402,0.003543073504290927
0.0054692227126926654,0.005075527232107461,0.005272374972400063
0.005003113254134245,0.0018219660022782084,0.0034125396282062266
0.005707656911648893,0.0024492302907095057,0.0040784436011791995
0.005771035887462919,0.003864432728539771,0.0048177343080013455
0.004858594782757101,0.0027414196179277104,0.003800007200342406
0.006041976085370447,0.0028071810672327994,0.004424578576301623
0.006082855342726211,0.0036410342358585983,0.004861944789292405
0.005087279356156705,0.004815909841975724,0.004951594599066214
0.004564798309275512,0.002365897998250004,0.0034653481537627578
0.004720734494130557,0.002699039212489408,0.0037098868533099825
0.005343217741244892,0.0025951543076703893,0.00396918602445764
0.005065975088962147,0.003724989265020997,0.004395482176991572
0.005145325412917774,0.004071831884044404,0.004608578648481089
0.005251385432810182,0.002109431737946396,0.003680408585378289
0.005269244413071944,0.003609874654590053,0.0044395595338309985
0.004863364176281977,0.005232217136763471,0.005047790656522724
0.0051877616820318355,0.0010315710062019966,0.003109666344116916
0.005289916778222494,0.0020819166926964007,0.0036859167354594473
0.005169635863639069,0.0025796255337244616,0.0038746306986817652
0.004671479203293684,0.001900845814161993,0.0032861625087278385
0.004780224891275063,0.0010510729205534472,0.002915648905914255
0.0042993847858551065,0.0015636263917309,0.002931505588793003
0.006719600643496646,0.004360395929241408,0.0055399982863690266
0.005022090022412645,0.0017354921462858456,0.0033787910843492454
0.00582715934843689,0.002479557561741453,0.004153358455089171
0.004734175756320346,0.0048384546787204425,0.004786315217520394
0.005310867961514494,0.001093932925982937,0.0032024004437487155
0.004249797289857898,0.0014883694714480076,0.0028690833806529524
0.004913252071481795,0.0026466844551135613,0.0037799682632976782
0.004474241206505848,0.0028727033808001747,0.0036734722936530113
0.004035026065476354,0.0020238657371234345,0.0030294459012998945
0.0035849804053607725,0.001312975083764485,0.0024489777445626288
0.004832099568452243,0.002689918370292999,0.003761008969372621
0.00353054351476856,0.004994215237498619,0.00426237937613359
0.005402730242465107,0.00251882076724078,0.003960775504852944
0.003921771873741807,0.004373710504302321,0.0041477411890220636
0.00487614587443072,0.0021969190714291845,0.0035365324729299524
0.005247169522530706,0.002064352058785898,0.003655760790658302
0.005262971266906322,0.004806676799011805,0.005034824032959063
0.004422787796994576,0.0018162182365252,0.003119503016759888
0.0038951654401701936,0.004833114553456806,0.004364139996813499
0.004263516904133081,0.005062536229125026,0.004663026566629053
0.003604834622946177,0.0020692930411834766,0.0028370638320648267
0.003094884509860861,0.001350105585201525,0.002222495047531193
0.004227587565805163,0.0018289500549254429,0.003028268810365303
0.004377729273286229,0.0022169951096174317,0.0032973621914518304
0.004658032167078723,0.0027249579182291356,0.0036914950426539294
