,MDS1,MDS2
Aroma,-0.8637308164456413,-0.09730857314446029
Flavor,-0.9283584444356622,-0.09331516714272485
Aftertaste,-0.9234654937888581,-0.12678610384972336
Sweetness,-0.5032810061145145,0.6475925080261831
Body,-0.8576408973281241,-0.14209186103171795
Balance,-0.8956226797565471,-0.13009488328453678
Uniformity,-0.5519236757212495,0.5887839543205625
Moisture,0.20045938135124095,0.6222914811950623
