"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1991312733460132199","Fri Nov 21 02:17:30 +0000 2025","0","@nurlezat2 @hafidzhaernanda mreka mantau ruu kuhap jg ngk kita bayar pkai pajak kita beda sma dpr. jd mnding kakaknya jg bijak sblm nuduh koalisi masyarakat sipil jgn smpai nanti kita khilangan org yg peduli rakyat krn tuduhan tak brdasr dpr dan rakyat yg lbh percaya dpe dibanding org mihak rakyat","1991692417624600712","","nurlezat2","in","","0","0","0","https://x.com/undefined/status/1991692417624600712","953476834385059840",
"1991312733460132199","Fri Nov 21 02:15:12 +0000 2025","0","@nurlezat2 @hafidzhaernanda hy kakak mreka mantau dr awal dan ngk mungkin mreka kasih hoax . mangkanya baca dlu apa yg djlasin icjr jgn ikut nuduh koalisi masyarakat yg mantau RUU KUHAP. klo bukn krn mreka vokal prcayalah pasal tsb lolos https://t.co/x7WxX3ip32","1991691836919021973","https://pbs.twimg.com/media/G6Po-KxacAEgNgC.jpg","nurlezat2","in","","0","1","0","https://x.com/undefined/status/1991691836919021973","953476834385059840",
"1991685823801241862","Fri Nov 21 01:51:18 +0000 2025","2","Ketok palu ajib racun MBG Hukum tdk adil itu adalah karena sang voters 02 RUU KUHAP ini lebih kejam dari orde baru Dan skg menjadi dosa voters 02 Maka dari itu kalean insyaflah","1991685823801241862","","","in","","0","1","0","https://x.com/undefined/status/1991685823801241862","1165900976286388224",
"1991684765909704756","Fri Nov 21 01:47:06 +0000 2025","6","Koalisi Masyarakat Sipil utk Pembaharuan KUHAP mengkritik keras pengesahan RUU 8/1981 ttg KUHAP menjadi UU karena Pasal 5 7 8 16 74 90 93 105 112A 124 132A dan 137 memberikan kewenangan yg amat luas bagi Polri dlm menangani perkara tindak pidana. #StopLindungiJokowi https://t.co/h3BMyB8x0O","1991684765909704756","https://pbs.twimg.com/amplify_video_thumb/1991684748511703044/img/w9kjINaOdxiFU_kr.jpg","","in","","0","0","8","https://x.com/undefined/status/1991684765909704756","1604064608913723394",
"1991425555808547178","Fri Nov 21 01:23:48 +0000 2025","3","@PaltiHutabarat lagi dan lagi cmn patsus . lalu ngk ditindak tegas dan dipidana? anjay lah afan blm klr dtg 1 lg. tu RUU kuhap jg smkin mmperluas wewenang mreka . au ah . GOOD LUCK WARGA pusing mau bilang apa lagi sking mirisnya","1991678904046878971","","PaltiHutabarat","in","","1","0","2","https://x.com/undefined/status/1991678904046878971","953476834385059840",
"1990756073029185618","Fri Nov 21 01:12:30 +0000 2025","0","@republikplus62 Gak semua yang kita baca soal RUU KUHAP itu bener bro. Jangan sampai kebawa emosi dan termakan hoax yang bikin RUU ini keliatan kayak alat penindasan. Yuk cek fakta dulu biar gak gampang terjebak drama.","1991676059184689291","","republikplus62","in","","0","0","0","https://x.com/undefined/status/1991676059184689291","1952645725432721408",
"1991675337126867396","Fri Nov 21 01:09:38 +0000 2025","0"," gara gara RUU KUHAP ganti dosennya bilang ini saya kenalkan RUU KUHAP yang lama dulu nanti menyesuaikan ","1991675337126867396","","","in","","0","0","0","https://x.com/undefined/status/1991675337126867396","1021289288",
"1991671922602697093","Fri Nov 21 00:56:04 +0000 2025","60","Dan mereka bilang : INI HOAX Entah rakyat harus percaya siapa. Yang jelas suara anggota @DPR_RI jelas tidak mewakili suara rakyat. RUU Perampasan Aset Koruptor yang sudah puluhan tahun digaungkan rakyat tidak pernah mereka GUBRIS. UU KUHAP untuk kepentingan siapa? --- Pangku https://t.co/qMfkE53B8g","1991671922602697093","https://pbs.twimg.com/ext_tw_video_thumb/1991671635905245185/pu/img/Q75YyV_QbQL8CAJ5.jpg","","in","","2","2","32","https://x.com/undefined/status/1991671922602697093","975389335775199232",
"1991332728562938255","Fri Nov 21 00:35:13 +0000 2025","0","@PngAdilnR4kyt RUU KUHAP seharusny juga mengatur bagi orang yg suka nyinyir di potong LIDAH nya","1991666674173718960","","PngAdilnR4kyt","in","","0","0","0","https://x.com/undefined/status/1991666674173718960","957079867639586818",
"1991660870355841181","Fri Nov 21 00:12:09 +0000 2025","4","halah pembohong banget lu pada. RUU TNI &amp; RUU KUHAP aja cepet banget. sampe ngga bisa bereaksi apa2 lagi sumpah udah ditahap muak sama pemerintah yg diisi sama orang2 inkompetensi kayak gini.","1991660870355841181","","","in","","0","0","0","https://x.com/undefined/status/1991660870355841181","1864173068589125633",
"1991656045341802596","Thu Nov 20 23:52:59 +0000 2025","0","respon buk dr ruu kuhap manfaat buat kita apa? @LoraT__T","1991656045341802596","","","in","","0","1","0","https://x.com/undefined/status/1991656045341802596","1428053811868827649",
"1991310530024546347","Thu Nov 20 23:09:01 +0000 2025","2","@kumparan Kalian percaya usulan kalian didengar??? Preeeeeet ‼️ RUU KUHAP ajah kita ga didengar kok..","1991644983838011682","","kumparan","in","","0","0","0","https://x.com/undefined/status/1991644983838011682","1429787631496220677",
"1991636456805396751","Thu Nov 20 22:35:08 +0000 2025","25","RUU KUHAP ... dan 'mereka' akan makin semena² https://t.co/MxJUs82STu","1991636456805396751","https://pbs.twimg.com/ext_tw_video_thumb/1991636375545036800/pu/img/n2f6YgNEHPAdGqV7.jpg","","in","","1","0","12","https://x.com/undefined/status/1991636456805396751","1429787631496220677",
